Name,Obj URL
Tomorrow I May Be Far Away,https://www.nga.gov/collection/art-object-page.119052.html
A Poet Reading,https://www.nga.gov/collection/art-object-page.108125.html
Fruit and Flowers,https://www.nga.gov/collection/art-object-page.132371.html
The Winged Figure,https://www.nga.gov/collection/art-object-page.78899.html
David with the Head of Goliath,https://www.nga.gov/collection/art-object-page.1145.html
Classic Landscape,https://www.nga.gov/collection/art-object-page.105596.html
Georgia O'Keeffe—Hands and Thimble,https://www.nga.gov/collection/art-object-page.60113.html
The Mountain Nymph Sweet Liberty,https://www.nga.gov/collection/art-object-page.102578.html
The Fortress of Königstein,https://www.nga.gov/collection/art-object-page.80924.html
Blue Blood,https://www.nga.gov/collection/art-object-page.194933.html
Haskell's House,https://www.nga.gov/collection/art-object-page.95419.html
Chalice of the Abbot Suger of Saint-Denis,https://www.nga.gov/collection/art-object-page.1437.html
An Eastern Ruler Seated on His Throne,https://www.nga.gov/collection/art-object-page.53157.html
The Last of the Buffalo,https://www.nga.gov/collection/art-object-page.124525.html
The Farm,https://www.nga.gov/collection/art-object-page.69660.html
The Boating Party,https://www.nga.gov/collection/art-object-page.46569.html
Street Demonstration San Francisco,https://www.nga.gov/collection/art-object-page.169312.html
Portrait of My Grandmother,https://www.nga.gov/collection/art-object-page.206066.html
Ground Rules (black line),https://www.nga.gov/collection/art-object-page.215454.html
A Young Man in Curlers at Home on West 20th Street N.Y.C.,https://www.nga.gov/collection/art-object-page.86848.html